,Company,Title,Address,Emp_type,Seniority,Industry,Salary,Responsibility,Requirements
1186,AMAZON WEB SERVICES SINGAPORE PRIVATE LIMITED,Specialised Sales Manager (Analytics),"AIA TOWER, 1 ROBINSON ROAD 048542","Permanent, Full Time",Manager,Information Technology,"$16,000to$19,000","Roles & ResponsibilitiesWould you like to be part of a team focused on accelerating adoption of AWS analytics, AI, and big data? Do you have the business savvy, technical background, and skills necessary to help position Amazon as the provider of choice for our analytics AI, and big data offerings? As a member of the Southeast Asia sales team for this fast growing, exciting space you will have the opportunity to help drive the growth and shape the future of AWS service category that will have a significant impact on our customer’s adoption of AWS.   As part of a single-threaded team focusing on analytics, AI, and data services ( ElasticSearch, CloudSearch, EMR, Kinesis, Glue, Redshift, Athena, QuickSight, Polly, Lex, Rekognition, Machine Learning, and Sagemaker), you will be responsible for working with enterprise, midmarket, and startup customers and their existing account representatives to qualify opportunities for data and BI workloads. You will engage with our Solution Architects, Partner, and Marketing organizations to drive opportunities to closure at a large scale. Your commitments will include driving platform adoption, running programs, and ensuring success at scale. The ideal candidate will possess a Technology Sales with engagements at the CXO level. They should also be a self-starter who is prepared to own, define, develop and execute a geographic plan and consistently deliver on quarterly revenue targets.   Roles & Responsibilities:   Be customer obsessed  Manage engagement with appropriate resources such as Solutions Architects, Professional Services, Executives, Partners etc.  Create & articulate compelling value propositions around the use cases and customer scenarios of data and analytics services  Accelerate customer adoption of AWS database and analytics offerings  Work with partners to extend reach & drive adoption.  Coordinate and participate in regional team meetings for education and product strategies.  Expect moderate travel to customer sites and Amazon local offices within assigned Areas ",Requirements   10+ years of technology related sales or business development experience 5+ years of direct field experience selling database/analytics solutions Experience in positioning and selling technology in new customer and new market segments Experience in proactively growing customer relationships within an account while expanding their understanding of the customer’s business Experience communicating and presenting to senior leadership 
1187,IBM SINGAPORE PTE LTD,Data Scientist,"IBM PLACE, 9 CHANGI BUSINESS PARK CENTRAL 1 486048",Permanent,Professional,Information Technology,"$7,000to$10,000","Roles & ResponsibilitiesJob Description We are in a data science renaissance. Companies that embrace data science will lead and those who do not will fall behind. To help IBM's clients lead, we are building an elite team of data science practitioners to help them learn how to succeed with data science. The team will include data engineers, machine learning engineers, operations research / optimization engineers and data journalists. You will engage directly in solving real-world data science problems in a wide array of industries around the globe with IBM clients and internally to IBM. The elite team of data scientist will work with other IBMers and client data science teams to solve problems in banking, insurance, health care, manufacturing, oil & gas and automotive industries, to name a few.   You’ll spend time on the following:  You will design and develop processes and systems to consolidate and analyze unstructured, diverse data sources to generate actionable insights You will work with the IBM Client and IBM cross industry teams to identify questions and issues for data analysis and experimentation You will use machine learning to build models that can address a few areas such as user segmentation, churn, affinity, and conversion rates among others You will develop and code software programs, algorithms, and automated processes to cleanse, integrate, and evaluate large datasets from multiple disparate sources Identify meaningful insights from large data and metadata sources; interpret and communicate insights and findings from analysis and experiments to clients/IBM teams ","RequirementsRequired  A Degree in a quantitative field (Statistics, Mathematics, Operations Research, Economics) or a degree in Computer Science 3-5 years of experience in working with data sets to build statistical models Excellent understanding of machine learning techniques and algorithms such as (Logistic Regression, Decision Trees, Random Forrest, Support Vector Machines, Clustering) Experience with common data science languages and libraries such as R, Python (NumPy, Pandas, Scikit), Weka, MatLab, etc. Skills in applied statistics skills, such as distributions, statistical testing etc. Expertise on machine learning methodology (data preparation, feature engineering, error metrics, model selection and validation) Proficiency in using query languages such as SQL and/or HiveQL Great communication skills  Good to have  Experience with NoSQL databases such as MongoDB, Cassandra, HBase Experience with distributed computing tools like the Hadoop stack, Spark, Pig, Hive etc. Software development skills in one or more high level languages (C#/C/C++/Java/.Net), one or more scripting languages (Perl/Shell) Experience with AWS or Azure Deep Learning frameworks (TensorFlow, Caffe, CNTK, Torch etc.)   "
1188,DELTA ELECTRONICS INT'L (SINGAPORE) PTE. LTD.,Software Engineer,,Full Time,Professional,Engineering,,"Roles & ResponsibilitiesJob Purpose   The Software Engineer would be a part of a high performance global team at Delta Research Center responsible for the delivery of features in the research projects. The candidate would need to analyse, design core modules of application and work with a global team of developers, data scientist, knowledge expert and architects.  Delta Research Center is the Corp RD of Delta Electronics group. Our mission is to develop Delta’s new capabilities by synergizing technology novelties with business innovation to achieve sustainable competitiveness in the ever changing climate.  Job Duties & Responsibilities    Collaborate with Software Project Leader and Solution Architects in defining and designing solution.    Liaise with solution project team members for solution delivery.    ","RequirementsJob Requirement (Qualification & Experience)    At least a Bachelor Degree in Computer Engineering/Science or equivalent    Experience in Java/Javascript, JEE5 and above/Angular JS, SQL, XML and Web Services technologies     Experience in at least 1 cycle of software development    Working experience UML design and documentation    Skills & Competencies    Deep knowledge of operating systems (Linux, Unix, etc.), middleware systems (Tomcat, ESB, etc.) /Frontend technical framework and database system (MongoDB, MySQL, etc.)    Understanding of Object Oriented Programming and concepts    Good communications and interpersonal skills, able to work well with people from diverse backgrounds and within distributed international teams   "
1189,INTELLECT MINDS PTE. LTD.,Senior Digital Business Analyst,"ANSON CENTRE, 51 ANSON ROAD 079904",Permanent,Executive,Information Technology,"$7,500to$9,000","Roles & ResponsibilitiesCompany Overview Intellect Minds is a Singapore-based company since 2008, specializing in talent acquisition, application development, and training. We serve BIG MNCs and well-known clients in talent acquisition, application development, and training needs for Singapore, Malaysia, Brunei, Vietnam and Thailand. Our client is an establish company a, leader within their industry, is now looking for a Senior Digital Business Analyst to join their esteemed organization.",RequirementsJob Requirements : Must have experience working on Wealth Management / Private Banking. Exposure & experience working in an Agile environment is key to the projects here. The ability to mentor / guide Junior BA's is also key to the role - they will be taking on a lead role - working to lead one stream of work.
1190,HCL SINGAPORE PTE. LTD.,Associate Consultant- Information Security,"AXA TOWER, 8 SHENTON WAY 068811",Permanent,Professional,Information Technology,"$7,500to$9,000","Roles & Responsibilities Ensure compliance controls are in place to determine security effectiveness and compliance toward meeting regulatory and/or standards compliance. Regularly report progress on CVSS scores, identified risks in addition to coordinate efforts with the Security Lead or Project Manager as required. Ensure compliance controls are in place to determine security effectiveness and compliance toward meeting regulatory and/or standards compliance. Manage a team that will execute/maintain a master test plan and/or the project plan, create or assist in a comprehensive security test plan, generate test cases and/or scenarios based on the requirements and/or other project documentation. Run the server hardening and applications scans to ensure all source code and software and server configurations meet Secure Coding Standards. Understand business portfolios and software requirements to effectively determine security testing for various requirements like Web application, Privilege management, Data validation, Access control, Cryptography. Create the customized audit files for Nessus security center scanning for specific standards like Docker, PostgreSQL, MSSQL, Oracle DB, MYSQL, DB2 and other OS configurations. Maintain a monthly reporting and tracking system of all scanned applications and their CVSS scores. Responsible for security vulnerability and remediation reports at an executive and technical level for stakeholders. In some cases, prepare customer-oriented security vulnerability summary reports. Be able to execute scans and deliver readout of OWASP vulnerabilities and potential impact to the system. Stay current with industry standard development and software technologies and competencies, including in-depth knowledge and understanding of computer applications, knowledge of risk assessment methodologies and frameworks. Test the logical access control data analysis for the application and identity the access violations with in the application.  Test and identify the SOD (Segregation of duties) violations with in the application. Stay current with industry security testing and vulnerability identification technologies and competencies. Developing and designing security devices and software to ensure the safety of clients’ or internal products and information Managing security measures for information technology system within a networked system Operating regular inspections of systems and network processes for security updates Conducting audit process for initiating security and safety measures and strategies Customizing access to information per rules and necessity Maintaining standard information security policy, procedure, and services Should have basic understanding of project life-cycle and should have handled/Implemented at least 4 information security projects in his tenure. Experience in managing data center activities is added advantage Knowledge of Operating system (Windows/Linux) working is desirable. Basic understanding of Web servers and DB (Oracle/MS SQL) is a plus. Should have experience on client management and have clear communication. He should be having strong understanding on the different ITSM process in an organization (Change Management/Incident Management/Release Management etc.) Product Expertise: - Compliance tools - Symantec CCS, Nessus Security Center SIEM: - McAfee ESM IDS/IPS Advance persistent threat Antivirus Solutions. PIM/PAM – ERPM Web Filtering solution: - Zscaler Email Gateway solution: - Symantec Messaging Gateway Data Base Security. Security Analytics. ","RequirementsMinimum of eight  years of IT security experience  5 years of experience in vulnerability assessment, understanding and validating the penetration testing reports. Bachelor Degree or MS degree in Computer Science or a related technical discipline. Experience with industry standard application security vulnerabilities per standards, such as OWASP Top 10 and SANS Top 25 Vulnerabilities, and how to identify and remediate them. Ability to communicate the impact of security vulnerabilities and their potential risk to key stakeholders of various backgrounds. Strong knowledge in analysis of web applications, scanning and preparing vulnerability assessment reports using commercial security testing/scan tools, open-source tools or scripting like Nessus Security center, Burp Suite, AppScan, Symantec Compliance Control Suite, McAfee Vulnerability manager, Venafi etc.  Experience with standalone software applications, Web-based applications, and relational databases from an application development and security testing perspective (stored procedures, triggers, permissions, etc.) Strong understanding of Information Security including the specific behaviors that secures information assets. Experience in writing and translating Information Security policies and procedures into language that a business and/or technical person can understand; ability to effectively communicate with both non-technical and technical people; ability to summarize security test findings to match the appropriate audience.  Past experience with assessing the security data validation testing on custom-developed software applications and customized/integrated applications.  Flexible and creative in finding alternative solutions and/or workarounds where security resolutions are in conflict with available resources or solution designs.   Desired Skills Must have certifications, CISA, CISM and CISSP to manage enterprise information security program for secured applications and networks. Candidate can preferably have Security+, SSCP, CEH, ECSA, or OSCP certifications, equivalent security industry certification Must have working knowledge of NIST SP 800, CIS, FISMA, and other security frameworks. Conceptual understanding of non-application based countermeasures to application security flaws.                 Minimum of eight years of IT security experience   5 years of experience in vulnerability assessment, understanding and validating the penetration testing reports. Bachelor Degree or MS degree in Computer Science or a related technical discipline. Experience with industry standard application security vulnerabilities per standards, such as OWASP Top 10 and SANS Top 25 Vulnerabilities, and how to identify and remediate them. Ability to communicate the impact of security vulnerabilities and their potential risk to key stakeholders of various backgrounds.  Strong knowledge in analysis of web applications, scanning and preparing vulnerability assessment reports using commercial security testing/scan tools, open-source tools or scripting like Nessus Security center, Burp Suite, AppScan, Symantec Compliance Control Suite, McAfee Vulnerability manager, Venafi etc.  Experience with standalone software applications, Web-based applications, and relational databases from an application development and security testing perspective (stored procedures, triggers, permissions, etc.)  Strong understanding of Information Security including the specific behaviors that secures information assets.  Experience in writing and translating Information Security policies and procedures into language that a business and/or technical person can understand; ability to effectively communicate with both non-technical and technical people; ability to summarize security test findings to match the appropriate audience.  Past experience with assessing the security data validation testing on custom-developed software applications and customized/integrated applications.  Flexible and creative in finding alternative solutions and/or workarounds where security resolutions are in conflict with available resources or solution designs.  "
1191,ITCAN PTE. LIMITED,"Data Governance Senior Analyst, APAC Data Governance","PRUDENTIAL TOWER, 30 CECIL STREET 049712",Contract,Professional,Information Technology,"$6,000to$12,000","Roles & ResponsibilitiesResponsibilities:    Supports data governance needs for Business Line MI programs in the region. Run data governance projects to set up data governance for our accounts and clients in the region:   Run workshops, define data strategy based on client/account priorities, Define with the business data classes and  Critical data elements Proposes regional data governance standards and processes based on Client/Account needs. Set up Data governance framework including  data stewardship program, data governance processes, RACI, business glossary, standards and playbooks for regional Clients and Account teams, in compliance to Global Data Governance guidelines Participate to the implementation of Data Quality programs for regional Clients/Accounts and Business Lines. (represent data Governance voice in the definition of DQ rules) Facilitate meetings with data consumers, data stewards, data producers and other stakeholders to ensure data governance rules and standards are applied to data related changes/ projects and mentor the business on DG. Identify areas of improvement in data practices and suggest appropriate solutions based on Data Governance principles.   ","RequirementsExperience  Must have 5+ years of experience in data domain such as Data Analysis, Data Governance, Data Management, Enterprise Information Management, Data Modeling, and Data Quality Management. Must have intermediate expertise in MS Excel, Visio, Word and PowerPoint. Must have foundational exposure to DataConcepts, i.e. Data Visualization, Data Analytics, Data Mining, Business Intelligence, etc. Bachelor's degree in Information Management, MIS, Library Science, or Computer Science; advanced degree preferred.   Experience in any standard ETL (Informatica, SSIS etc.), BI (Tableau, Cognos, Power BI etc.) and data management tools preferred. 3 + years related experience in commercial real estate management (preferred) or related industry. Candidates must have experience working in large global organizations with geographically dispersed teams and complex technical environments.  Skills: Data Governance & Management:  A practitioner of Data Governance and Management with real world experience of implementing at least two of the below concepts:   Critical Data Elements Business Glossary/Data Definition Reference Data Management Data Migration Master Data Management   Should have demonstrated success in implementation of Data Quality Management methodology. Should possess business acumen and have demonstrated success as a Business Analyst/Consultant in data domain. Experience in business consulting for large scale data projects preferred. Experience of successful application of Data Governance concepts in business scenarios preferred.  Project Management:  Should have demonstrated success in managing end to end project lifecycle. Should have demonstrated success in requirement gathering, stake holder management and project co-ordination in a heterogeneous (a mix of Business, Operations and IT) environment. Ability to work well under deadlines and multitask between competing priorities preferred.  Soft Skills:  Must be a self-starter and work with minimal or no supervision during analysis of complex business problems and deliver under strict deadlines. Must have excellent relationship management skills that include: excellent listening and consultative capability, ability to influence and negotiate with business and technology partners to drive change, ability to see the big picture and make key connections. Should have excellent presentation, oral and written communication skills. Must be able to communicate with a variety of stakeholders across all levels of the organization. Should have demonstrated to be successful in a team based collaborative environment. Excellent collaborative and leadership mindset preferred.  Technology:    Should have sound understanding on technological concepts (Data Architecture, Data Modeling and Data Integration) in data domain. Should be able to analyze and manipulate data stored in spreadsheets.  Ability to query and analyze data stored in RDBMS systems such as MS SQL server, Oracle etc."
1192,Company Undisclosed,Data Engineer,,Contract,Executive,Information Technology,"$3,500to$5,500","Roles & ResponsibilitiesAbout Our Client Our client is a Fortune Global 500 management consulting firm with a well-established market presence in Asia. You will be part of a dynamic and high performing team dedicated to drive innovation and to facilitate their client's digital transformation projects in Singapore. Job Description  Ensure the data warehouse load jobs run as per schedule and data availability to the business is uninterrupted. Implement and maintain data pipelines, both bath and real time, as well as the infrastructure required. Develop advanced analytical models that help the business identify trends within customer base and behaviour. Perform all needed data cleansing and transformation to improve quality of input for research. ","RequirementsThe Successful Applicant  Bachelor's degree in Computer Science (or equivalent experience). Hands-on development experience with ETL/ELT tools. Proven experience with Data Warehousing and Big Data technologies. Working knowledge of big Data Technologies like Hadoop, Hive, Spark and streaming/messaging services like Kafka,Spark streaming. Solid understanding of some BI tools such as Cognos, QlikView or Tableau.  What's on Offer This organisation is a global brand name, with strong presence in Singapore as their regional headquarters. They have been constantly growing in the APAC region and are one of the most trusted companies globally. The firm is highly focused on on-boarding the right talent to support their growth and you will play a crucial role in leading the business in its next phase of growth. If you are driven, determined and want to fast - track your career, this job will be a good fit for you. You will be a part of a forward-thinking company that values innovation and a progressive mind-set. Contact:  Rodrigo Narcizo Quote job ref: 4007951 +65 6419 9681"
1193,3TOP CONSULTING PTE. LTD.,Data Scientist Big Data Hadoop Hive Machine Learning Business Analytics,,"Permanent, Full Time",Senior Executive,Information Technology,"$4,000to$7,500","Roles & ResponsibilitiesBusiness Analytics team and collaborate with subject matter experts to develop analytic statistical models, machine learning methods and solutions   RESPONSIBILITIES:   Work with internal and external stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions by testing various statistical models.  Improve on effectiveness and accuracy of new data sources and data gathering techniques, or create new processes and tools to monitor and analyse model performance and data accuracy.  Explore third-party and open source solutions for fast execution and for specific use cases  Engage in fundamental research to develop novel solutions to solve diverse business problems","Requirements Bachelor’s degree in Computer Science, Mathematics & Statistics, Economics, Analytics or Applied Mathematics  Minimum 2 years’ of experience in statistical modelling and analysis tools like R, STATA  At least 2 years’ of experience in programming languages like S-plus, SAS, Python  Handled one of these: Supervised and Unsupervised Learning, Classification Models, Cluster Analysis, Neural Networks, Non-parametric Methods, Multivariate Statistics, Reliability Models, Markov Models, Stochastic models, Bayesian Models  Knowledge of UNIX or Linux environments  Experience working with large data sets and tools like MapReduce, Hadoop, Hive  Proficient in data streaming technologies like Spark, Flink   Interested candidates please send in an updated Word CV with a recent photograph attached to kelvinleow@3topconsulting.com EA License: 10C3108 EA Registration No: R1106538"
1194,TOSS-EX PTE. LTD.,Business Analyst,"INCOME AT RAFFLES, 16 COLLYER QUAY 049318",Full Time,Professional,Information Technology,,"Roles & Responsibilities Responsible for business analysis, user coordination and implementation of business initiatives. Responsible for reviewing the end-to-end process flows, identify opportunities for automation, translate into business requirements and follow through till implementation. Collaborates with regional and global operations, technology development team, compliance to meet business and regulatory requirements Partners with sponsors / stakeholders and manage the technology solutions from project conception through implementation.  Collaborate with technology partners for technology solutions, project planning & testing management to ensure quality delivery of software solution to the business Assist in creating business requirement documents and formulate technology solutions in response to business requirements. Assist in performing testing through different phases of project implementations, provide training to Business users, provide SME support ","Requirements A graduate with 7+ Business Analysis experience in a large, multi-national organization or an entity with similar global reach and complexity. Sound knowledge in banking & lending products with prior experience in delivering operations programs (back-office processing, settlement) Strong interpersonal skills – demonstrate ability and proven track record in building partnerships and collaborative relationships at various levels within the organization, people and relationship management. Able to influence effectively; gain support for new ideas and approaches across multiple stakeholders with varying agendas and shifting priorities Self-motivated and directed, proactive and action-oriented, must demonstrate personal accountability.  Able to work independently and as a team player. Strong analytical, interpretive and problem solving skills; strong oral and written communication skills including presentation development and delivery. Proven project management skills would be an added advantage "
1195,COGNIZANT TECHNOLOGY SOLUTIONS ASIA PACIFIC PTE. LTD.,Data Engineer,"PLAZA 8 @ CBP, 1 CHANGI BUSINESS PARK CRESCENT 486025",Full Time,Professional,Information Technology,"$3,000to$4,500","Roles & Responsibilities Working on Big Data, Data Visualizations, Business Analytics or Data Warehousing Presentation with use of advanced analytics via complex mathematical and statistical models Provide clients with actionable insights to drive key business decisions Follow best practice analytics and data management principles Delivering technical business solutions via data or consulting projects with clients ","Requirements Minimum Diploma in Computer Science, IT or equivalent qualifications Less than 1 year of work experience "
1196,BLUE STAR INFOSTACK SOLUTIONS PTE. LTD.,Data Architect,"ROBINSON SQUARE, 144 ROBINSON ROAD 068908",Contract,Senior Executive,Information Technology,"$7,500to$12,000","Roles & ResponsibilitiesWe require DW Data Architect for our client in Singapore   Requirement1:                                            Position: DW Data Architect Location: Singapore Type of Position: Contract Job description (Role): As we embark on the journey of Data led enterprise, the role will be a combination of Data architecture, Data Management, Data Governance, and data visualization. The responsibilities will be as follows:    Define and set the standards for an enterprise wide framework for data management, data governance, and utilization of information as an organizational asset. Develop an overall data capture, storage, and dissemination framework for all the social enterprises defining central vs. local data framework. Build the ETL frameworks for each SE working with their technology and data leaders and enable a consistent data model for each of the enterprises in the group. Set data governance standards, data control processes, data policy standards, and effective usage frameworks for the enterprise and all the SE’s. Work with software vendors to deploy the latest BI, analytical and big data tools across the franchise. Lead the efforts with our digital platform managers to ensure our data flows and API’s have defined and consistent frameworks. Work with our customer experience teams, data science groups, and product managers to deploy tools and enable information access capabilities. Work closely with CTO’s to deploy data towards payments, authentication, and insight solutions.    Required Experience and Skills    Degree in Information Technology Minimum 7-12 years of experience in Information Technology Must have minimum 5 years of relevant DW Data Architect experience Must be highly technical/strong hardware and software engineering competencies. Focus will be on cloud based DWH architecture, latest DWH technologies, and CLOUD capabilities. Demonstrated experience of moving data from existing platforms to CLOUD architecture. Worked closely with BI teams, data science teams, and product teams to deploy the latest software including capable experience with latest tools like HADOOP, SPARK, HANA, TABLEAU, and other latest data tools. Must have worked on new e-biz enabled business models and how data is architected in these areas specially payments, authentication, and insights/search. Managed and rolled-out data governance standards, data protocols, data security, and privacy disciplines. Worked closely with business and data science partners, product vendors, and software firms. Critical to have strong presentation skills, communication and articulation to non-data partners essential. Strong strategic capability that has been proven by having built large data platforms with a 2-3 year frameworks and a clear execution mandate.    If you are interested in this position, have the required experience and skills, please send your resume to murugan@infogain.com or murugan@infogain.com. Please also send your details of your current salary, expected salary and notice period for immediate discussion.","Requirements Degree in Information Technology Minimum 7-12 years of experience in Information Technology Must have minimum 5 years of relevant DW Data Architect experience Must be highly technical/strong hardware and software engineering competencies. Focus will be on cloud based DWH architecture, latest DWH technologies, and CLOUD capabilities. Demonstrated experience of moving data from existing platforms to CLOUD architecture. Worked closely with BI teams, data science teams, and product teams to deploy the latest software including capable experience with latest tools like HADOOP, SPARK, HANA, TABLEAU, and other latest data tools. Must have worked on new e-biz enabled business models and how data is architected in these areas specially payments, authentication, and insights/search. Managed and rolled-out data governance standards, data protocols, data security, and privacy disciplines. Worked closely with business and data science partners, product vendors, and software firms. Critical to have strong presentation skills, communication and articulation to non-data partners essential.  Strong strategic capability that has been proven by having built large data platforms with a 2-3 year frameworks and a clear execution mandate."
1197,ADECCO PERSONNEL PTE LTD,Business Analyst - Infrastructure,"SHAW CENTRE, 1 SCOTTS ROAD 228208","Contract, Full Time",Executive,Information Technology,"$5,000to$8,000","Roles & ResponsibilitiesThe Opportunity  Our client is an established foreign bank. They are currently looking for a Business Analyst - Infrastructure to join their team. Main responsibility is to perform analysis and testing for projects  The Job  Perform analysis and testing for complex projects throughout the SDLC process Will be executing and implementing the AML monitoring platform (Mantas) Performs thorough impact analysis, batch scheduling, Batch execution, health checks. Perform Application Migration activities ","RequirementsThe Talent  Min 9 years’ experience as a Business Analyst in Infrastructure Experience in Mantas (AML monitoring platform), Unix scripting & Oracle is a must Experience in Issue Management Strong interpersonal and communication skills  Next Steps Prepare your updated resume (please include your current salary package with full breakdown such as base, incentives, annual wage supplement, etc.) and expected package. Please send your updated resume to technicalstaffing@adecco.com. All shortlisted candidates will be contacted. All the best!   Toh Wen Hui   EA License No: 91C2918 Personnel Registration Number: R1767204 Tel: +65 6697 7881 Email: wenhui.toh@adecco.com  "
1198,PEOPLE PROFILERS PTE. LTD.,"Junior Business Analyst x5 (Shipping industry MNC, West)","SHAW TOWERS, 100 BEACH ROAD 189702",Permanent,Junior Executive,"Accounting / Auditing / Taxation, General Management","$2,800to$4,200","Roles & Responsibilities5 days work week  Salary range up to 4k + AWS + bonus           Main responsibilities will be to assist on issue forecast and actual results for Entities/ Departments / Services Responsibilities:   Provide support to do budgeting for the vessels. Assist Business control assistant manager and department to analyze gaps between actual and estimate, review and update standards. Assist to align the procedure and management rules established by the financial management. Analyse indicators according to management needs and necessities. ","RequirementsJob Requirements:   Degree in Accounting and Management (1-2 years) business control position. Proficient in accounting and more precisely in closing transactions. Good communication skills in spoken and written English and good command of IT and Office tools Good analytically and organizational skills. Reporting to Business Control Assistant Manager Experience in Financial Planning & Analysis (FP&A) an advantage    All Successful candidates can expect a very competitive remuneration package and a comprehensive range of benefits.   Alternatively, you may wish to email your resume in a detailed MS WORD FORMAT to rebecca.leong@peopleprofilers.com We regret that only shortlisted candidates will be notified   People Profilers Pte Ltd, 1 Finlayson Green #18-01 Singapore 049246 Tel:  6671 9875 Fax:  6536 7890 http://www.peopleprofilers.com rebecca.leong@peopleprofilers.com   Consultant in charge: Rebecca Leong Jie En EA Licence Number: 02C4944 Registration Number: R1872312 Job ID: 40976   Please be informed that the personal data you provided by way of your job application to People Profilers will be collected, used and disclosed by or on behalf of People Profilers to determine or investigate your suitability, eligibility or qualifications for employment with People Profilers and/or its’ Clients and manage your application for employment with People Profilers and/or its’ clients, including identifying you as a potential candidate for future suitable positions and/or notifying you of any such positions, either existing or in the future.        "
1199,NTT DATA SINGAPORE PTE. LTD.,Business Analyst,"KEPPEL TOWERS, 10 HOE CHIANG ROAD 089315",Contract,Executive,Information Technology,"$5,000to$7,000",Roles & Responsibilities analyze tests results and work with Business Analyst and Developers to perform defect management participate in functional and technical review meetings with business analyst and developer manage and support UAT with business users ,"Requirements Proven ability to analyze tests results and work with Business Analyst and Developers to perform defect management Proven experience in participating in functional and technical review meetings with business analyst and developers will be preferred Proven experience in managing and supporting UAT with business users including but not limited to test data preparation, clarify UAT testers’ queries, manage UAT testers’ expectation to differentiate defects versus changes to original scope, and work with UAT testers to meet UAT completion objective "
1200,SCIENTE INTERNATIONAL PTE. LTD.,Business Analyst (Service Delivery),"THE SIGNATURE, 51 CHANGI BUSINESS PARK CENTRAL 2 486066","Contract, Full Time","Executive, Junior Executive",Information Technology,"$4,000to$5,500",Roles & ResponsibilitiesAn exciting opportunity as a Business Analyst with a global bank in their service delivery team for the overall productivity and optimization initiatives.,"RequirementsMandatory Skillsets   Degree in Computer Science / Information Technology / Mathematics / Statistics;  At least 2 years of Business Analyst experience in finance services or strong in numbers;  Good understanding in overall IT space i.e. Infrastructure and/or Software Development;  Strong and positive to take up new domain and challenges;  Proficient in Excel, reports development and data analysis;  Analytical, detail-oriented and solution-oriented;  Resourceful, independent and proactive team player;  Good communication skills, good grasp of the current state and evolution of financial markets.   Desired Skillsets   Banking / Finance Services experience is preferred;  Roles & Responsibilities   Part of the Service Delivery Team to support analysis of data and service delivery matters to various business units;  Collect, collate and analyse data and translate to reports, summary, recommendations as well as deriving financial value for internal stakeholders;  Manage and track day-to-day financial dollar value activities for projects;  Develop adhoc reports from trends and current consumption;  Support productivity and service optimization initiatives and projects from start to delivery;  Coordinate data centre relocation projects working with various technical teams and architects to ensure service delivery is optimized.  Should you be interested in this opportunity, please send your updated resume to apply@sciente.com at the earliest. Confidentiality is assured, and only short-listed candidates will be notified.   EA License: 07C5639"
1201,BNP PARIBAS,Global Markets Risk & P&L IT,,Permanent,Executive,Banking and Finance,"$4,000to$7,000","Roles & ResponsibilitiesKey responsibilities: GINZA Support Bot GINZA is a compute grid framework that powers various research applications used by trading and sales.    We would like to make supporting it more efficient by: • Collecting information about the computations that are done • Analysing the information to provide insights into what users are doing • Build usage patterns per user and identify when users are experiencing problems (e.g. errors or slowness) • Try and correlate system changes to problems occurring • Use a chatbot to pro-actively notify when potential issues occur (slowness/errors) along with possible causes/solutions • Use a chatbot for support teams to interrogate the information • Investigate applying other AI / machine learning techniques to the workflow If the bot is successful we could look at applying the same techniques to more systems.  Other projects would be technical and would involve Soho, Quartz or GINZA (or projects for APAC Risk&PnL IT team).","RequirementsTechnical & Behavourial Competencies:   Bachelor's Degree in Engineering, Maths, Physics, Computer Science  Good programming language knowledge (e.g. C++, Java, C#, Python…) Technical Project experience "
1202,CANOPY PTE. LTD.,Senior Business Analyst - Manager,"MANHATTAN HOUSE, 151 CHIN SWEE ROAD 169876","Permanent, Full Time",Manager,"Banking and Finance, Information Technology, Others","$4,000to$6,000","Roles & ResponsibilitiesCanopy (https://canopy.cloud) is a Singapore based fintech that offers a next generation account aggregation, portfolio analytics and client reporting platform for high net-worth individuals and wealth professionals. We are a B2B player and we collaborate with private banks, family offices, external asset managers, trust companies and other private wealth institutions.  Our Product Development Team designs and delivers attractive and high performing products to our global partners and clients. We are looking for a Senior Business Analyst – Manager to join the Product Development Team. Working in an innovative space, you’ll develop high tech solutions that will fuel your advanced career skill set and empower you to own your career. Our integrated businesses demand the talents and creativity of individuals with a wide range of skills and experience.  The role’s primary responsibility is to consult with both Business subject matter experts and Technologists to identify, prioritize, document, and manage business requirements. You are expected to facilitate and lead requirements gathering workshops and drive discussions with the relevant business units. You’ll also be expected to analyse, document business processes, review and validate test plans, support user acceptance testing, and manage requirements traceability throughout the development lifecycle.","RequirementsKey Roles and Responsibilities  Capture and review impacted business processes, working with business stakeholders to identify, improve business process, with the focus to achieve cost savings, quality improvements, increased efficiencies, and reduced risk Develop clear, complete requirements that are understood by technologists and business stakeholders Manage requirements and its associated changes throughout the project lifecycle Understand the business problems and drive the collaboration to identify solutions while accounting for dependencies, impact and time to market Support and align the Product Development Team’s efforts to address both the customers’ needs and Canopy’s business strategies Facilitate and conduct trainings for all product users Function as a Project Manager when required Identify and assign appropriate resources to accomplish various project tasks Guide and coach team members through various project stages Provide developmental feedback to team members Validate test plans and execution for both QAT and SIT Guide business users to define UAT test cases, ensuring all requirements are tested Lead and mentor junior/mid-level business analysts Establish open and healthy working relationships with key stakeholders across both the Business SME and Technology teams 	   Requirements  Proven leadership ability managing a 4-6 persons team 5+ years of relevant work experience, including team leadership experience. Minimum 2 years of data project experience across the entire development lifecycle Financial knowledge required Strong quantitative skills, attention to detail, critical thinking, and problem-solving abilities Ability to set, manage and delegate priorities Ability to multitask and support multiple complex projects simultaneously Ability to develop project plans, achieve business goals based on working experience, educated assumptions and limited information Excellent interpersonal and collaboration skills Excellent written and verbal communication skills Ability to articulate ideas to both technical and non-technical audiences Self-motivated and directed Prior experience in coordinating complex projects is preferred Expertise in SQL is preferred "
